,CVE_ENT,CVE_MUN,NOM_MUN,NOM_ENT
0,01,002,Asientos,Aguascalientes
1,01,011,San Francisco de los Romo,Aguascalientes
2,01,007,Rincón de Romos,Aguascalientes
3,01,008,San José de Gracia,Aguascalientes
4,01,005,Jesús María,Aguascalientes
5,01,009,Tepezalá,Aguascalientes
6,01,001,Aguascalientes,Aguascalientes
7,01,006,Pabellón de Arteaga,Aguascalientes
8,01,010,El Llano,Aguascalientes
9,01,003,Calvillo,Aguascalientes
10,01,004,Cosío,Aguascalientes
11,02,005,Playas de Rosarito,Baja California
12,02,003,Tecate,Baja California
13,02,004,Tijuana,Baja California
14,02,002,Mexicali,Baja California
15,02,001,Ensenada,Baja California
16,03,008,Los Cabos,Baja California Sur
17,03,009,Loreto,Baja California Sur
18,03,003,La Paz,Baja California Sur
19,03,001,Comondú,Baja California Sur
20,03,002,Mulegé,Baja California Sur
21,04,007,Palizada,Campeche
22,04,002,Campeche,Campeche
23,04,010,Calakmul,Campeche
24,04,003,Carmen,Campeche
25,04,004,Champotón,Campeche
26,04,011,Candelaria,Campeche
27,04,001,Calkiní,Campeche
28,04,008,Tenabo,Campeche
29,04,009,Escárcega,Campeche
30,04,006,Hopelchén,Campeche
31,04,005,Hecelchakán,Campeche
32,05,035,Torreón,Coahuila de Zaragoza
33,05,022,Nava,Coahuila de Zaragoza
34,05,020,Múzquiz,Coahuila de Zaragoza
35,05,010,Frontera,Coahuila de Zaragoza
36,05,026,Progreso,Coahuila de Zaragoza
37,05,009,Francisco I. Madero,Coahuila de Zaragoza
38,05,033,San Pedro,Coahuila de Zaragoza
39,05,012,Guerrero,Coahuila de Zaragoza
40,05,017,Matamoros,Coahuila de Zaragoza
41,05,001,Abasolo,Coahuila de Zaragoza
42,05,038,Zaragoza,Coahuila de Zaragoza
43,05,016,Lamadrid,Coahuila de Zaragoza
44,05,031,San Buenaventura,Coahuila de Zaragoza
45,05,029,Sacramento,Coahuila de Zaragoza
46,05,013,Hidalgo,Coahuila de Zaragoza
47,05,036,Viesca,Coahuila de Zaragoza
48,05,021,Nadadores,Coahuila de Zaragoza
49,05,025,Piedras Negras,Coahuila de Zaragoza
50,05,011,General Cepeda,Coahuila de Zaragoza
51,05,008,Escobedo,Coahuila de Zaragoza
52,05,024,Parras,Coahuila de Zaragoza
53,05,006,Castaños,Coahuila de Zaragoza
54,05,023,Ocampo,Coahuila de Zaragoza
55,05,019,Morelos,Coahuila de Zaragoza
56,05,028,Sabinas,Coahuila de Zaragoza
57,05,002,Acuña,Coahuila de Zaragoza
58,05,003,Allende,Coahuila de Zaragoza
59,05,005,Candela,Coahuila de Zaragoza
60,05,004,Arteaga,Coahuila de Zaragoza
61,05,015,Juárez,Coahuila de Zaragoza
62,05,037,Villa Unión,Coahuila de Zaragoza
63,05,032,San Juan de Sabinas,Coahuila de Zaragoza
64,05,018,Monclova,Coahuila de Zaragoza
65,05,034,Sierra Mojada,Coahuila de Zaragoza
66,05,007,Cuatro Ciénegas,Coahuila de Zaragoza
67,05,014,Jiménez,Coahuila de Zaragoza
68,05,027,Ramos Arizpe,Coahuila de Zaragoza
69,05,030,Saltillo,Coahuila de Zaragoza
70,06,010,Villa de Álvarez,Colima
71,06,005,Cuauhtémoc,Colima
72,06,002,Colima,Colima
73,06,003,Comala,Colima
74,06,001,Armería,Colima
75,06,006,Ixtlahuacán,Colima
76,06,004,Coquimatlán,Colima
77,06,008,Minatitlán,Colima
78,06,007,Manzanillo,Colima
79,06,009,Tecomán,Colima
80,07,023,Chamula,Chiapas
81,07,087,Suchiate,Chiapas
82,07,031,Chilón,Chiapas
83,07,097,Tonalá,Chiapas
84,07,004,Altamirano,Chiapas
85,07,090,Tapalapa,Chiapas
86,07,050,La Libertad,Chiapas
87,07,099,La Trinitaria,Chiapas
88,07,096,Tila,Chiapas
89,07,108,Villaflores,Chiapas
90,07,058,Nicolás Ruíz,Chiapas
91,07,029,Chicoasén,Chiapas
92,07,017,Cintalapa,Chiapas
93,07,046,Jiquipilas,Chiapas
94,07,007,Amatenango del Valle,Chiapas
95,07,093,Tenejapa,Chiapas
96,07,060,Ocotepec,Chiapas
97,07,051,Mapastepec,Chiapas
98,07,022,Chalchihuitán,Chiapas
99,07,065,Palenque,Chiapas
100,07,010,Bejucal de Ocampo,Chiapas
101,07,094,Teopisca,Chiapas
102,07,073,Rayón,Chiapas
103,07,118,San Andrés Duraznal,Chiapas
104,07,053,Mazapa de Madero,Chiapas
105,07,012,Berriozábal,Chiapas
106,07,028,Chiapilla,Chiapas
107,07,045,Ixtapangajoya,Chiapas
108,07,069,Pijijiapan,Chiapas
109,07,041,La Independencia,Chiapas
110,07,111,Zinacantán,Chiapas
111,07,098,Totolapa,Chiapas
112,07,011,Bella Vista,Chiapas
113,07,008,Angel Albino Corzo,Chiapas
114,07,021,Copainalá,Chiapas
115,07,115,Maravilla Tenejapa,Chiapas
116,07,070,El Porvenir,Chiapas
117,07,054,Mazatán,Chiapas
118,07,047,Jitotol,Chiapas
119,07,116,Marqués de Comillas,Chiapas
120,07,062,Ostuacán,Chiapas
121,07,102,Tuxtla Chico,Chiapas
122,07,042,Ixhuatán,Chiapas
123,07,059,Ocosingo,Chiapas
124,07,117,Montecristo de Guerrero,Chiapas
125,07,039,Huitiupán,Chiapas
126,07,064,Oxchuc,Chiapas
127,07,002,Acala,Chiapas
128,07,057,Motozintla,Chiapas
129,07,119,Santiago el Pinar,Chiapas
130,07,066,Pantelhó,Chiapas
131,07,088,Sunuapa,Chiapas
132,07,026,Chenalhó,Chiapas
133,07,006,Amatenango de la Frontera,Chiapas
134,07,032,Escuintla,Chiapas
135,07,106,Venustiano Carranza,Chiapas
136,07,112,San Juan Cancuc,Chiapas
137,07,114,Benemérito de las Américas,Chiapas
138,07,049,Larráinzar,Chiapas
139,07,020,La Concordia,Chiapas
140,07,078,San Cristóbal de las Casas,Chiapas
141,07,079,San Fernando,Chiapas
142,07,110,San Lucas,Chiapas
143,07,081,Simojovel,Chiapas
